fecha_apertura,25 de Mayo,9 de Julio,Adolfo Alsina,Alberti,Almirante Brown,Arrecifes,Avellaneda,Azul,Bahía Blanca,Balcarce,Baradero,Benito Juárez,Berazategui,Berisso,Bragado,Brandsen,Campana,Capitán Sarmiento,Carlos Casares,Carlos Tejedor,Carmen de Areco,Cañuelas,Chacabuco,Chascomús,Chivilcoy,Colón,Coronel Dorrego,Coronel Pringles,Coronel Suárez,Coronel de Marina L. Rosales,Daireaux,Dolores,Ensenada,Escobar,Esteban Echeverría,Exaltación de la Cruz,Ezeiza,Florencio Varela,General Alvear,General Belgrano,General Juan Madariaga,General Las Heras,General Lavalle,General Paz,General Pueyrredón,General Rodríguez,General San Martín,General Viamonte,General Villegas,Hipólito Yrigoyen,Hurlingham,Ituzaingó,José C. Paz,Junín,La Costa,La Matanza,La Plata,Lanús,Laprida,Las Flores,Leandro N. Alem,Lobería,Lobos,Lomas de Zamora,Luján,Magdalena,Malvinas Argentinas,Mar Chiquita,Marcos Paz,Mercedes,Merlo,Monte,Moreno,Morón,Navarro,Necochea,Olavarría,Patagones,Pergamino,Pilar,Pinamar,Presidente Perón,Punta Indio,Puán,Quilmes,Ramallo,Rojas,SIN ESPECIFICAR,Saladillo,Salto,San Andrés de Giles,San Antonio de Areco,San Cayetano,San Fernando,San Isidro,San Miguel,San Nicolás,San Pedro,San Vicente,Suipacha,Tandil,Tigre,Trenque Lauquen,Tres Arroyos,Tres de Febrero,Vicente López,Villa Gesell,Villarino,Zárate
2020-04-28,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,1,0,0,9,0,2,0,0,0,0,0,3,0,0,1,0,0,0,6,0,4,2,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2020-04-29,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,1,0,0,0,5,0,1,0,0,0,0,0,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2020-04-30,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,2,0,0,7,0,1,0,0,0,0,0,0,3,0,4,0,0,0,4,0,2,6,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,3,3,1,0,0,5,0,0,0,0,0,0,2,0,0,0
2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-02,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,5,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-04,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,11,0,3,0,0,0,0,0,1,2,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2020-05-05,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,1,0,0,2,1,0,0,0
2020-05-06,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,1,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2020-05-07,0,0,0,0,2,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,0,0,7,0,2,0,0,0,0,0,0,0,0,3,0,0,0,7,0,2,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-05-08,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,2,1,0,0,0,5,0,4,0,0,0,0,0,1,1,0,3,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-05-10,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,5,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,7,0,6,0,0,0,0,0,2,0,0,3,0,0,0,1,0,5,3,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
2020-05-12,0,0,0,0,3,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,2,0,2,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,20,4,1,0,0,0,0,0,4,1,0,2,0,0,0,4,0,1,6,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2020-05-13,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,12,0,1,0,0,0,0,0,1,1,0,6,0,1,0,3,0,1,1,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,2,2,0,0,0
2020-05-14,0,0,0,0,5,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,5,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,14,1,1,0,0,0,0,0,4,0,0,5,0,1,0,4,0,4,5,0,0,0,0,0,2,0,0,0,0,6,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,2,0,0,0,0
2020-05-15,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,7,3,0,1,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,10,1,7,0,0,0,0,0,5,0,0,1,0,0,0,5,0,2,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,1,0,1,0
2020-05-16,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,10,5,3,0,0,0,0,0,4,1,0,0,0,2,0,1,0,2,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0
2020-05-17,0,0,0,0,3,0,4,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,1,5,0,0,0,0,0,3,0,0,3,0,0,0,2,0,4,4,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,1,0,1,0
2020-05-18,0,0,0,0,5,0,8,0,1,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,2,0,0,0,0,0,0,1,0,13,0,0,0,0,0,3,0,0,18,3,3,0,0,0,0,0,25,0,0,1,0,1,0,3,0,6,5,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,0,2,0,2,0
2020-05-19,0,0,0,0,10,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,3,3,0,0,0,0,0,0,2,1,5,0,0,0,1,0,3,0,0,9,3,13,0,0,0,0,0,10,4,0,3,0,2,0,2,0,5,4,0,0,0,0,0,4,0,1,0,0,16,0,0,0,0,0,0,0,0,0,7,5,0,1,0,0,0,6,0,1,4,2,0,2,0
2020-05-20,0,0,0,0,10,0,10,0,1,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,3,7,0,0,0,0,0,0,0,1,6,0,0,0,1,2,1,0,0,22,5,8,0,0,0,0,0,6,0,0,6,0,1,0,5,0,9,1,0,0,0,0,0,2,0,3,0,0,16,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,1,0,0,2,1,0,0,0
2020-05-21,0,0,0,0,8,0,20,0,3,0,0,0,5,4,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,8,0,4,10,0,0,0,0,0,0,1,0,14,0,0,0,2,1,0,0,1,17,10,5,0,0,0,0,0,5,0,0,1,0,0,0,8,0,4,3,0,0,0,0,0,3,0,0,0,0,35,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,19,4,0,0,0
2020-05-22,0,1,0,0,7,0,22,0,0,0,1,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,7,0,0,0,0,1,0,3,0,11,0,0,0,3,2,3,0,1,13,11,13,0,0,0,0,0,7,0,0,3,0,5,0,5,0,6,9,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,0,3,7,2,0,0,3,0,0,8,0,0,4,0,0,0,4
2020-05-23,0,0,0,0,5,0,25,0,9,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3,6,0,0,0,0,0,0,0,0,5,0,0,0,3,0,2,0,0,23,8,6,0,0,0,0,0,3,2,0,1,0,1,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,8,1,0,0,2
2020-05-24,0,0,0,0,10,0,10,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,5,0,0,0,0,0,0,0,0,12,0,0,0,2,1,1,0,0,11,5,5,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,41,0,0,0,1,0,0,12,0,0,2,4,0,0,0,0,0,2,0,0,3,0,1,0,0
2020-05-25,1,0,0,0,13,0,16,0,0,0,0,0,8,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,0,6,7,0,0,0,0,0,0,2,0,5,0,0,0,6,1,1,0,0,2,7,5,0,0,0,0,1,12,0,0,2,0,0,0,7,0,6,2,0,0,0,0,0,1,0,3,0,0,58,0,0,0,0,0,0,2,0,1,3,0,1,0,0,0,0,1,0,0,3,0,0,1,0
2020-05-26,0,0,0,0,10,0,32,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,0,3,0,0,0,0,0,0,0,2,5,0,0,0,2,2,2,0,0,25,8,5,0,1,0,0,0,13,0,0,4,0,0,1,10,0,7,7,0,0,0,0,0,1,0,3,0,0,37,0,0,1,0,0,0,0,0,1,1,3,0,0,4,0,0,1,0,0,3,3,0,0,0
2020-05-27,0,0,0,0,6,0,23,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,1,5,6,0,0,0,0,0,0,0,6,7,0,0,0,3,1,4,0,0,21,14,12,0,0,0,0,0,10,0,0,4,0,0,0,6,0,7,6,0,1,0,0,0,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,5,0,0,7,2,0,1,2
2020-05-28,0,0,0,0,8,0,36,0,0,0,1,0,10,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,2,4,6,0,0,0,0,0,0,0,1,20,0,0,0,5,0,2,0,0,34,2,6,0,0,0,0,0,17,1,0,5,0,1,0,4,0,5,3,1,6,0,0,0,2,0,3,0,0,52,0,0,2,0,0,0,0,0,1,6,3,0,0,0,0,0,10,0,0,6,3,0,0,6
2020-05-29,0,0,0,0,16,0,25,0,0,0,0,0,8,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,5,11,0,0,0,0,0,0,0,1,10,0,0,0,2,2,3,0,1,41,14,17,0,0,0,0,0,8,4,0,6,0,0,0,3,0,3,4,0,12,0,0,0,11,0,2,0,0,57,0,0,1,0,0,0,0,0,3,15,5,0,0,8,0,0,9,0,0,6,4,0,0,1
2020-05-30,0,0,0,0,8,1,22,0,0,0,0,0,3,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,1,7,0,0,32,9,18,0,0,0,0,0,12,1,0,11,0,0,0,8,0,7,2,0,4,0,0,0,10,0,0,0,0,45,0,0,1,0,0,0,0,0,2,4,6,1,0,0,0,0,6,0,0,3,6,0,0,3
2020-05-31,0,0,0,0,5,0,21,0,1,0,0,0,3,7,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,10,2,0,0,0,1,0,0,0,0,5,0,0,0,5,0,0,0,0,28,9,3,0,0,0,0,2,9,0,0,1,0,1,0,3,0,2,3,0,0,0,0,0,4,0,0,0,0,5,0,0,1,0,0,0,0,0,0,7,5,0,0,0,0,0,2,0,0,5,2,0,0,9
2020-06-01,0,0,0,0,19,0,14,0,0,0,0,0,6,7,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,15,3,3,4,14,0,0,0,1,0,0,1,0,33,0,0,0,0,0,2,0,0,59,8,24,0,0,0,1,0,11,0,0,13,0,0,1,10,0,7,6,0,1,0,0,0,9,0,1,0,0,33,0,0,2,0,0,0,0,0,3,6,2,0,0,6,0,0,12,0,0,14,2,0,0,2
2020-06-02,0,0,0,0,17,0,12,0,6,0,1,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,3,1,3,4,0,0,0,0,0,0,0,0,10,0,0,0,3,2,3,0,0,31,4,5,0,0,0,0,0,20,0,0,4,0,0,0,12,0,7,6,0,1,1,0,0,2,0,4,0,0,31,0,0,0,1,0,0,0,0,4,6,1,0,0,0,0,0,10,0,0,12,1,0,2,3
2020-06-03,0,0,0,0,12,0,24,0,4,0,0,0,7,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,3,0,2,5,0,0,0,0,0,0,2,1,12,0,0,0,0,1,5,0,0,37,21,24,0,0,0,0,1,28,1,0,6,0,3,5,7,1,8,5,0,3,2,0,0,6,0,3,0,0,37,0,0,0,0,0,0,0,0,3,10,8,0,0,1,0,0,9,0,0,7,5,0,0,1
2020-06-04,0,0,0,0,19,0,22,0,0,0,2,0,8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,11,1,1,10,0,0,0,0,0,0,1,3,5,0,0,0,4,4,4,0,0,38,12,16,0,0,0,0,0,24,1,0,8,0,0,0,8,0,9,6,0,0,1,0,0,19,0,1,0,0,34,0,0,0,3,0,0,0,0,2,11,5,4,0,0,0,0,6,0,0,13,5,0,0,2
2020-06-05,0,0,0,0,16,1,29,0,0,0,2,0,9,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,8,0,6,18,0,0,0,0,0,0,0,0,19,0,0,0,9,2,2,1,0,48,12,38,0,0,0,0,0,19,3,0,8,0,0,1,11,0,5,6,0,2,3,0,0,3,0,4,0,0,53,0,0,1,1,0,0,0,0,2,8,6,0,0,1,0,0,9,0,0,11,3,0,0,5
2020-06-06,0,0,0,0,15,0,13,0,0,0,0,0,14,5,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,5,0,20,15,0,0,0,0,0,0,0,0,9,0,0,0,8,3,1,1,0,48,9,21,0,0,0,0,0,7,6,0,2,0,0,5,5,0,6,1,0,0,10,0,0,1,0,4,0,0,30,0,0,0,0,0,1,0,0,3,3,3,0,0,3,0,0,6,0,0,9,0,0,0,2
2020-06-07,0,0,0,0,5,0,40,0,0,0,1,0,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,4,1,1,18,0,0,0,0,0,0,0,4,9,0,0,0,8,2,2,0,0,21,8,12,0,0,0,0,0,13,2,0,3,0,4,0,6,0,5,4,0,0,1,0,0,14,0,2,0,0,36,0,0,2,0,0,0,0,0,1,9,7,0,0,0,0,0,1,0,0,5,2,0,0,0
2020-06-08,0,0,0,0,17,0,24,0,0,0,0,0,14,4,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,9,0,3,17,0,0,0,0,0,0,1,3,14,0,0,0,6,7,4,0,0,52,20,12,0,0,0,0,0,25,4,0,5,0,2,1,29,0,10,5,0,0,22,0,0,14,0,6,0,0,27,0,0,1,0,0,0,0,0,6,5,7,0,0,2,0,0,43,0,0,13,9,0,0,8
2020-06-09,0,0,0,0,18,0,48,0,0,0,0,0,18,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,8,0,8,23,0,0,0,1,0,0,0,0,27,0,0,0,6,4,5,0,0,74,15,15,1,0,0,0,0,21,3,0,10,0,2,1,14,0,31,2,0,0,4,0,0,8,0,4,0,0,50,0,0,0,0,0,1,0,0,1,4,9,0,0,4,0,0,9,0,0,21,7,0,0,1
2020-06-10,0,0,0,0,24,0,25,0,0,1,1,0,8,5,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,16,7,0,5,11,0,0,0,0,0,0,0,3,28,0,0,0,7,6,6,1,0,75,14,32,4,0,0,0,0,29,8,0,8,0,5,0,15,0,19,11,0,0,9,0,0,12,0,5,0,0,42,0,0,0,0,1,0,0,0,2,18,16,0,0,5,0,0,66,0,0,31,5,0,0,4
2020-06-11,0,0,0,0,29,0,40,0,0,0,5,0,12,3,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,3,19,0,9,24,0,0,1,0,0,0,0,9,29,0,1,0,13,7,18,0,0,65,16,34,3,0,0,0,1,29,5,0,10,0,6,0,23,0,34,18,0,0,31,0,0,8,0,9,0,0,48,0,0,1,0,10,0,0,0,12,13,6,0,0,0,0,0,8,0,0,17,8,0,0,2
2020-06-12,0,0,0,0,45,0,26,1,0,0,0,0,13,5,0,1,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,14,15,0,19,20,0,0,0,0,0,0,1,7,33,0,0,0,12,3,9,1,0,100,20,42,0,0,0,0,0,42,4,1,4,0,0,0,27,0,14,14,0,1,3,0,0,5,1,4,0,0,44,0,0,1,0,3,3,0,0,8,18,11,0,0,2,0,0,39,0,0,35,8,0,0,3
2020-06-13,0,0,0,0,16,0,21,0,1,0,1,0,11,5,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,18,0,3,15,0,0,0,0,0,0,0,5,35,0,0,0,9,5,3,0,0,67,17,51,2,0,0,0,0,24,4,0,1,0,1,0,24,0,14,9,0,0,5,0,0,8,0,4,0,0,23,0,0,0,0,2,0,0,0,4,10,7,0,0,1,0,0,10,0,0,12,6,0,0,2
2020-06-14,0,0,0,0,13,0,32,1,0,0,0,0,7,1,0,1,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,15,0,8,9,0,0,0,0,0,0,1,4,16,0,0,0,5,1,8,0,0,50,12,23,0,0,0,0,1,35,5,0,4,0,0,0,24,0,22,8,0,0,1,0,0,2,0,5,0,0,22,0,0,1,0,7,0,0,0,3,11,7,0,1,3,0,0,9,0,0,21,8,0,0,2
2020-06-15,0,0,0,0,29,0,37,1,0,0,1,0,13,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,0,7,21,0,0,0,2,0,0,0,7,29,0,0,0,16,3,12,0,0,89,27,18,0,0,0,0,0,36,0,0,8,0,2,0,23,1,27,7,0,0,4,0,0,5,0,1,0,0,56,0,0,0,0,0,0,0,0,3,16,12,0,0,0,0,0,12,0,0,24,4,0,0,1
2020-06-16,0,0,0,0,35,0,63,1,2,0,2,0,18,6,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,20,17,0,11,22,0,0,0,3,0,0,0,1,45,0,0,0,16,6,13,0,0,80,24,44,0,0,0,0,0,66,7,0,4,0,0,0,19,0,29,19,0,0,3,0,0,23,0,6,1,0,72,0,0,2,0,4,0,0,0,9,20,16,0,8,6,0,0,16,0,0,23,5,0,0,3
2020-06-17,0,0,0,0,27,0,46,0,0,0,0,0,20,5,0,0,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,3,23,1,6,20,0,0,0,3,0,0,0,3,48,0,0,0,19,7,19,0,0,110,28,36,0,0,0,0,0,57,12,0,7,0,1,1,32,1,32,25,0,1,4,0,0,12,0,5,0,0,65,0,0,1,0,8,0,0,0,6,14,25,0,0,3,0,0,14,0,0,36,6,0,0,2
2020-06-18,0,0,0,0,48,0,40,2,1,0,2,0,27,7,2,2,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,14,19,0,5,30,0,0,0,4,0,0,0,4,26,1,0,0,17,11,7,0,0,146,26,58,0,0,0,0,0,45,6,0,4,0,13,0,25,0,33,17,0,0,12,0,0,5,0,6,0,0,90,0,0,0,0,2,0,0,0,7,18,21,0,3,9,0,0,10,0,0,31,17,0,0,9
2020-06-19,0,0,0,0,47,0,79,0,6,0,6,0,15,5,0,2,3,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,5,10,13,0,14,21,0,0,0,8,0,0,0,10,31,0,0,0,20,17,9,0,0,94,36,68,0,0,0,0,0,46,3,0,8,0,13,0,38,4,43,12,0,0,5,0,0,10,0,6,0,0,70,0,0,0,0,0,0,0,0,9,18,25,0,0,7,0,0,22,0,0,43,9,0,0,2
2020-06-20,0,0,1,0,38,0,37,0,0,0,2,0,29,27,0,3,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,18,39,1,28,49,0,0,0,6,0,0,0,10,41,0,0,0,25,12,25,0,0,113,25,38,0,0,0,0,0,44,10,0,29,0,13,0,37,1,41,25,0,0,1,0,0,9,0,3,0,0,53,0,0,2,0,0,0,0,0,11,19,25,0,1,0,0,0,20,0,0,35,9,0,0,6
2020-06-21,0,0,0,0,22,0,54,0,0,0,0,0,14,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,24,0,0,0,1,0,0,0,5,25,0,0,0,12,8,8,0,0,77,17,24,0,0,0,0,0,47,3,0,7,0,2,0,24,1,8,8,0,0,0,0,0,4,0,5,0,0,39,0,0,0,0,0,0,0,0,5,24,13,0,0,1,0,0,3,0,0,22,6,0,0,3
2020-06-22,0,0,0,0,55,0,51,1,1,0,0,0,19,9,1,2,4,2,0,0,0,11,0,1,0,1,0,0,0,4,0,0,4,7,22,0,9,43,0,0,0,5,0,0,0,8,44,0,1,0,37,7,29,0,0,120,52,56,0,0,0,0,0,84,6,0,16,0,2,1,28,0,33,21,0,0,5,0,0,17,0,14,0,0,100,0,0,1,0,3,0,0,0,8,19,27,0,11,2,0,0,10,0,0,49,20,0,0,4
2020-06-23,0,0,0,0,70,0,57,2,5,0,0,0,56,8,0,4,3,0,0,0,0,17,0,1,2,0,0,0,0,0,0,0,3,12,36,0,15,50,0,0,0,8,0,0,0,9,51,0,0,0,25,11,15,0,0,163,47,54,0,0,0,0,1,60,4,0,16,0,6,1,47,1,54,24,0,0,1,0,0,19,0,16,0,0,94,0,0,1,0,1,0,1,0,11,19,29,0,8,2,1,0,25,0,0,26,12,0,0,3
2020-06-24,0,0,0,0,58,0,91,2,2,0,0,0,42,12,0,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,13,9,51,1,15,43,0,0,0,6,0,0,2,11,59,0,0,0,32,10,31,0,0,192,54,73,0,0,0,0,3,64,6,0,25,0,1,3,43,3,23,35,0,1,6,0,0,13,0,6,0,0,120,0,0,0,0,0,0,0,0,24,16,25,0,8,6,0,0,25,0,0,31,16,0,0,12
